ID;Description;GeneRatio;BgRatio;pvalue;p.adjust;qvalue;geneID;Count
GO:0140664;ATP-dependent DNA damage sensor activity;9/38;21/18369;7,19270008325594e-20;1,30187871506932e-17;6,51128639115801e-18;MLH1/MSH2/MSH6/RAD50/RAD51/RAD51B/RAD51C/XRCC2/XRCC3;9
GO:0008094;ATP-dependent activity, acting on DNA;13/38;126/18369;1,84790099229879e-19;1,67235039803040e-17;8,36418343882609e-18;BRIP1/MLH1/MRE11/MSH2/MSH6/RAD50/RAD51/RAD51B/RAD51C/RAD54B/RAD54L/XRCC2/XRCC3;13
GO:0140612;DNA damage sensor activity;9/38;24/18369;3,18593389617044e-19;1,92218011735617e-17;9,61369526563712e-18;MLH1/MSH2/MSH6/RAD50/RAD51/RAD51B/RAD51C/XRCC2/XRCC3;9
GO:0140097;catalytic activity, acting on DNA;15/38;245/18369;5,75781901874145e-19;2,60541310598051e-17;1,30308535687307e-17;BRIP1/ERCC4/MLH1/MRE11/MSH2/MSH6/MUTYH/RAD50/RAD51/RAD51B/RAD51C/RAD54B/RAD54L/XRCC2/XRCC3;15
GO:0140299;small molecule sensor activity;9/38;39/18369;5,05453561238637e-17;1,82974189168386e-15;9,15136974032058e-16;MLH1/MSH2/MSH6/RAD50/RAD51/RAD51B/RAD51C/XRCC2/XRCC3;9
GO:0003697;single-stranded DNA binding;10/38;119/18369;3,59499152930917e-14;1,08448911134160e-12;5,42402230737874e-13;BRCA2/ERCC4/MLH1/MSH2/RAD50/RAD51/RAD51B/RAD52/RAD54L/TP53;10
GO:0000400;four-way junction DNA binding;6/38;17/18369;6,30418565365887e-13;1,63008229044608e-11;8,15278144683703e-12;MSH2/MSH6/RAD51B/RAD51C/XRCC2/XRCC3;6
GO:0003684;damaged DNA binding;8/38;71/18369;1,47890506887698e-12;3,34602271833416e-11;1,67349784109763e-11;BRCA1/ERCC4/MSH2/MSH6/MUTYH/NBN/PARP1/TP53BP1;8
GO:0032404;mismatch repair complex binding;5/38;11/18369;1,31941236586476e-11;2,65348486912802e-10;1,32712822765344e-10;ATR/MLH1/MSH2/MSH6/MUTYH;5
GO:0000217;DNA secondary structure binding;6/38;35/18369;8,04861154096961e-11;1,45679868891550e-09;7,28611150024617e-10;MSH2/MSH6/RAD51B/RAD51C/XRCC2/XRCC3;6
GO:0004520;DNA endonuclease activity;5/38;36/18369;1,03704741650366e-08;1,70641438533784e-07;8,53455290136983e-08;ERCC4/MRE11/RAD50/RAD51C/XRCC3;5
GO:0030983;mismatched DNA binding;4/38;14/18369;1,53515850387892e-08;2,31553074335070e-07;1,15810202924199e-07;MLH1/MSH2/MSH6/MUTYH;4
